Organization,City,State,Company Website Address,College All or Specific Majors,College Majors Ag/Life Sciences,College Majors Bus/Comm,College Majors Ed/Human Dev,College Majors Lang/Letters,College Majors Perf/Visual Arts,College Majors Ph Sciences/Engineering,College Majors Found/Interd Studies,Company Paragraph,Organization Type,Cost of Tuition?,Average Time to Graduation?,Industry Job Outlook?,Placement Rate?,Booths-Employer,Booths-Graduate School,Booths-On Campus Group
"Master of Human Resources, Utah State University",Logan,UT,www.huntsman.usu.edu/mhr,Specific Majors,,"Accounting,Applied Management   ,Business Analytics       ,Business Management - Entrepreneurial Management,Business Management - Finance,Business Management - Marketing,Business Management - Supply Chain Management,Communication - Organizational Communication and Advocacy,Communication - Public Relations,Economics ,Financial Economics","Psychology - General Psychology,Psychology - Industrial/Organizational Psychology,Social Work     ,Sociology",,,,,Master of Human Resources,Graduate School,"$34,531.12 ",1 1/2 yrs,Very good.,95%,,M-2,
Maximum Senior Benefits LLC,Salem,UT,www.maximumseniorbenefits.com,All Majors,,,,,,,,"Maximum Senior Benefits excels at providing the Baby Boomers with final expense life insurance to take care of funeral and other end-of-life financial obligations. Its Sales Professionals currently service approximately 30 states throughout the US. 

Maximum Senior Benefits only hires qualified persons with sales experience and provides them with a $65,000.00-$78,000.00 first-year base depending on previous sales experience.",Employer,,,,,"H-5,H-6",,
McCain Foods,Burley,ID,www.mccain.com,Specific Majors,"AAS--Plant Science and Technology,Agricultural Engineering Technology,Agricultural Technology,Agriculture Education,Agronomy, Crop and Soil Sciences,Food Science","Agribusiness  - Agribusiness Management,Agribusiness  - Global Food and Agribusiness Management,Agricultural Economics    ,Applied Management   ,Business Management - Supply Chain Management",,,,Manufacturing and Supply Chain,,"As a food manufacturer, our business is driven by good people, making good food, from good ingredients ? the result is food that makes people feel good. But it's not just about the food we make, it's about how we conduct ourselves in every aspect of our business. From farmer & customer relationships to sustainable ag processes ? we strive to make every element of our business good.
McCain Foods is a world-leading food company & one of the largest manufacturers of frozen potato specialties. We also produce pizza, appetizers, vegetables, oven meals & desserts. Our products are found in restaurants & supermarket freezers in more than 160 countries. A privately owned company, we employ 20,000 people & operate 53 facilities on six continents.",Employer,,,,,I-12,,
McCarthy Building Companies,Phoenix,AZ,mccarthy.com,Specific Majors,,,,,,"Architectural Technology     ,Civil Engineering,Construction Management     ,Mechanical Engineering",,"McCarthy Building Companies is a national general contracting firm.  We have 5 regions in the United States with offices across the country.  Our major market sectors are utility scale renewable energy, education and healthcare.",Employer,,,,,A-2,,
"Melaleuca, Inc",Idaho Falls,ID,www.melaleuca.com,Specific Majors,Food Science,"Accounting,Business Analytics       ,Business Management - Entrepreneurial Management,Business Management - Finance,Business Management - Marketing,Business Management - Supply Chain Management,Economics ,Financial Economics",,,,"Applied Software Engineering,Computer Information Technology,Computer Science     ,Data Science,Manufacturing and Supply Chain,Software Engineering    ,Web Design and Development - Design,Web Design and Development - Development",,"Enhancing the Lives of Those We Touch by Helping People Reach Their Goals?
 
Melaleuca has firmly supported this mission statement since our humble beginning in 1985. Everything we accomplish is done with an eye toward promoting the physical, environmental, financial, and personal wellness of those around us. Our focus has always been on wellness. By manufacturing and selling effective, high quality, natural, health oriented products we help people live more vibrant, healthier, and happier lives. When you walk through the doors at Melaleuca, you can feel it immediately. This is The Wellness Company.
 
We have achieved consistent and profitable growth with our annual revenue hitting over $2 billion dollars. We now have over 4,000 employees and operate in 19 countries around the world. Melaleuca is positioned to grow even more rapidly in upcoming years. To help keep up with this growth we are looking for outstanding individuals to be part of Melaleuca",Employer,,,,,"A-15,O-19",,
Micron Technology Inc.,Boise,ID,www.micron.com,Specific Majors,,,,,,"Chemistry ,Computer Engineering     ,Computer Science     ,Electrical Engineering       ,Mechanical Engineering  ,Physics",,"Micron Technology is a world leader in innovative memory solutions that transform how the
world uses Information. Through our global brands ? Micron, Crucial and Ballistix ? we
offer the industry?s broadest portfolio, and are the only company that manufactures today?s
major memory and storage technologies: DRAM, NAND, NOR, and 3D XPoint? memory",Employer,,,,,G-3,,
Monkey Bar Storage,Rexburg,ID,366 Dividend Dr.,All Majors,,,,,,,,"The Monkey Bars Model is unique and a superior concept in the garage enhancement industry. We offer patented and unique product lines that set our dealers apart from the competition. We are seeking individuals to live their entrepreneurial dream as Monkey Bar Storage dealers.

As an exclusive dealer, you will have access to these products in a protected territory. Our program offers the benefits typically associated with successful franchise companies, but without a royalty. Our superior training, both initial and ongoing, have a proven track record of creating successful businesses.",Employer,,,,,E-8,,
Naval Nuclear Laboratory,Idaho Falls,ID,www.NavalNuclearLab.energy.gov,Specific Majors,,,,,,"Civil Engineering,Electrical Engineering       ,Mechanical Engineering",,Naval Nuclear Laboratory is looking for Entry Level Engineers at our Idaho location.,Employer,,,,,E-5,,
NAVEX Global,Rexburg,ID,www.navexglobal.com,Specific Majors,,"Business Management - Finance,Business Management - Marketing",,,,"Computer Information Technology,Computer Science     ,Software Engineering    ,Web Design and Development - Design,Web Design and Development - Development",,"NAVEX Global's comprehensive suite of ethics and compliance software, content and services helps organizations protect their people, reputation and bottom line. Trusted by 95 of the FORTUNE 100 and more than 12,500 clients, our solutions are informed by the largest ethics and compliance community in the world.",Employer,,,,,D-4,,
Nelson Laboratories,Salt Lake City,UT,www.nelsonlabs.com,Specific Majors,Biology,,,,,"Biochemistry    ,Chemistry",,"At Nelson Laboratories, A Sotera Health Company, our employees become part of an industry-leading, global provider of laboratory testing and consulting services; dedicated to the mission of helping the best companies in the world improve the quality of life by providing the highest standard in laboratory testing.",Employer,,,,,O-7,,
Northwest Farm Credit Services,Spokane,WA,www.northwestfcs.com,Specific Majors,"Agricultural Engineering Technology,Agricultural Technology,Agriculture Education,Agronomy, Crop and Soil Sciences,Animal Science,Horticulture","Accounting,Agribusiness  - Agribusiness Management,Agribusiness  - Global Food and Agribusiness Management,Agricultural Economics    ,Business Management - Finance,Economics ,Financial Economics",,,,,,"As a recipient of the 2018 Gallup Great Workplace Award, and recently named the Best Large Company to work for in the Inland Northwest, we are a group of individuals who are passionate about and committed to supporting agriculture. We are a financial cooperative (owned and governed by our customer-members) that exists to improve the lives of our customers and employees, the communities where we work and raise our families, and the Northwest agriculture, food, and fiber industries, by providing reliable, consistent credit and financial services. Our customers are farmers, ranchers, commercial fishermen, forest products producers, and rural homeowners in Montana, Idaho, Oregon, Washington and Alaska.",Employer,,,,,F-2,,
Northwestern Mutual,Boise,ID,http://boise.nm.com/,All Majors,,,,,,,,"We consistently focus on doing the right thing for the people who put their trust in us. For over 150 years, Northwestern Mutual has helped clients manage financial risk and achieve financial security in today?s complex world. Since our inception, we have continued to practice four core values every day by:
?Doing what?s right for policyowners and other clients
?Building long-term relationships to meet clients? needs
?Building and preserving financial strength
?Offering world-class products and expert guidance that address changing needs over a lifetime
 

Based upon these values, our mission is to attract and develop highly motivated individuals committed to building a financial services practice. We provide our financial representatives with the tools, resources and training necessary to succeed, and offer an extensive network of services and specialists so financial representatives can help their clients attain essential financial goals.",Employer,,,,,I-7,,
Nutrien Ag Solutions,fresno,ca,www.nutrienagsolutions.com,Specific Majors,"AAS--Plant Science and Technology,Agronomy, Crop and Soil Sciences",,,,,,,"Nutrien Ag Solutions is one of the largest farm and market retailers in the United States. With over 149 years in the business, we are the most effective and efficient supply chain in the United States for rapid development in seed, fertilizer and crop protection products. Our mission is to be a trusted and recognized leader in the agriculture industry, the first choice for every customer and producer, and a growth company where employees can achieve success and develop their maximum potential.",Employer,,,,,B-3,,
Olympus Test Prep,Draper,UT,www.olympustestprep.com,All Majors,,,,,,,,"Olympus Test Prep is inviting students to a free GMAT/GRE Info Session. Our instructor scored perfect on the GRE, perfect on the LSAT, and 790 out of 800 on the GMAT. With 17 years of test-taking expertise, we teach both the strategy behind the tests and the math and verbal skills needed to succeed. 

We'll be at Career Fair and hosting info sessions on Fri, Oct 12. GRE 3-4:30 PM and GMAT 5-6:30 PM. Manwaring Center, first floor. Please look for signs or refer to the Info Session bulletin board at Career Fair.",Graduate School,NA,NA,NA,NA,,N-5,
ON Semiconductor,Phoenix,AZ,http://www.onsemi.com/PowerSolutions/home.do,Specific Majors,,"Accounting,Business Analytics       ,Business Management - Finance,Business Management - Supply Chain Management",,,,"AAS--Computer Information Systems,AAS--Data Science,AAS--Electrical and Computer Engineering,AAS--Engineering Technology,Applied Software Engineering,Civil Engineering,Electrical Engineering       ,Mechanical Engineering  ,Software Engineering",,"ON Semiconductor (Nasdaq: ON) is driving energy efficient innovations, empowering customers
to reduce global energy use. The company is a leading supplier of semiconductor-based
solutions, offering a comprehensive portfolio of energy efficient connectivity, sensing, power
management, analog, logic, timing, discrete, and custom devices. The company?s products
help engineers solve their unique design challenges in automotive, communications, computing,
consumer, industrial, medical and aerospace/defense applications. ON Semiconductor
operates a responsive, reliable, world-class supply chain and quality program, and a network
of manufacturing facilities, sales offices and design centers in key markets throughout North
America, Europe, and the Asia Pacific regions",Employer,,,,,B-7,,
Optisound Hearing,Pocatello,ID,NONE,All Majors,,,,,,,,Strategic Dispensing is a recruitment and training facility for hearing care professionals,Employer,,,,,H-10,,
Pacific Northwest University of Health Sciences,Yakima,WA,https://www.pnwu.edu/,All Majors,,,,,,,,"In 2004, physicians and community leaders throughout the Northwest raised the awareness and resources to build a health sciences university, beginning with an osteopathic medical college. At the time of its founding in 2005, Pacific Northwest University of Health Sciences College of Osteopathic Medicine (PNWU-COM) was only the third medical school in the five-state Northwest region of Alaska, Idaho, Montana, Oregon, and Washington, and was the Northwest?s newest medical school in 60 years. PNWU-COM welcomed its first class of 70 medical school students into Butler-Haney Hall in 2008 and graduated them in 2012. 

PNWU has built a Recruit-Educate-Return model to help address a significant shortage of health care professionals in the Northwest. PNWU emphasizes recruitment of students from rural or medically underserved locations and educates students in such areas with the intended outcome of graduates returning to practice in those or similar communities. As of October 2017, the COM has graduated 488 physicians and of those who have completed residency and reported their practice status, over 80 percent are in the Northwest, and 57 percent are practicing in rural or medically underserved areas.",Graduate School,"54,500",4 Years,Excellent,100%,,N-7,
Palmer College of Chiropractic,Davenport,IA,www.palmer.edu,All Majors,,,,,,,,"Palmer College of Chiropractic is the founding college of the chiropractic profession, and is known as The Trusted Leader in Chiropractic Education?. It was founded in 1897, in Davenport, Iowa, by D.D. Palmer, the discoverer of chiropractic. More than 2,200 students attend Palmer College campuses in Davenport, Iowa; Port Orange, Fla.; and San Jose, Calif. Palmer?s nearly 30,000 practicing alumni comprise almost half of the doctors of chiropractic in the United States. Palmer?s doctor of chiropractic curriculum is a five-academic-year program that?s typically completed in three-and-one-third calendar years.",Graduate School,"11,749 per trimester",3.3 years,12% (Faster than average) per bls.gov,88%,,L-2,
Pro Rafting Tours,Elk Ridge,UT,www.proraftingtours.com,All Majors,,,,,,,,Will post this soon.,Employer,,,,,G-8,,
Ralph L Wadsworth Construction,Draper,UT,www.wadsco.com,Specific Majors,,,,,,"AAS--Engineering Technology,AAS--Welding Engineering Technology,Advanced Vehicle Systems,Automotive Engineering Technology,Automotive Technology    ,Automotive Technology Management,Civil Engineering,Construction Management     ,Welding and Fabrication Technology Management     ,Welding Engineering Technology",,"alph L. Wadsworth Construction Company, LLC (RLW) builds multi-million dollar projects throughout the Intermountain West for both the public and private sectors. Founded in 1975 by its namesake, the company is now run by the second-generation sons: Kip, Con, and Tod Wadsworth. Under their tenor the company has experienced exceptional growth and expanded into increasing larger and more complicated projects. These include design-build, Construction Management / General Contractor and traditional design-bid-build projects.

In 2009, the company was purchased by Sterling Construction Company out of Houston, Texas.  This strategic purchase allows for increased market share for all Sterling subsidiaries that includes Arizona, California, Colorado, Idaho, Minnesota, Montana, Nevada, Texas, Washington and Wyoming.  Sterling is ranked 91 by the ENR Top 400 Contractors, 16 of the Top 20 Transportation Contractors and 15 of the Top 50 Domestic Contractor for 2010.  Kip, Con, and Tod continue to operate Ralph L. Wadsworth Construction and provide the continuity to maintain the growth and innovation for which the company is known.",Employer,,,,,J-7,,
RBDC,Rexburg,ID,35 N 1st E Ste 3,All Majors,,,,,,,,"Applied Learning Projects (ALPS) is a pilot program offered by the Research Business Development Center (RBDC) in partnership with BYU-Idaho. Part of the RBDC?s mission is to help students grow professionally by providing opportunities for them to convert knowledge gained in the classroom into actual skills they can report on their resumes.

The RBDC connects students to companies and organizations for which they can perform value-added research projects. BYU-Idaho students can be on campus in Rexburg or across the globe online when they participate in ALPS.",Employer,,,,,"E-2,E-3",,
RedBuilt,Boise,ID,www.redbuilt.com,Specific Majors,,,,,,"AAS--Engineering Technology,Architectural Technology     ,Construction Management",,"RedBuilt is a leader in the design, manufacture and support of proprietary engineered wood products. We provide structural systems and services to the framers, general contractors, architects, and structural engineers who build light-frame commercial structures. Headquartered in Boise, Idaho, RedBuilt operates 
four manufacturing plants and design centers with sales offices across America.",Employer,,,,,J-9,,
REDCON Inc.,Centerville,UT,www.redcon.com,Specific Majors,,"AAS-Administrative Assistant/Office Manager,Accounting,Applied Management   ,Business Management - Marketing",,,,"AAS--Data Science,Architectural Technology     ,Construction Management     ,Geobusiness and Data Analytics,Geoscience Computing,Geospatial Computing",,"REDCON, Inc. is a Land Surveying provides services for road, airport, building, and bridge construction projects in the state of Utah. We are seeking interns for the Spring and Summer 2019.",Employer,,,,,C-9,,
ReviewLift,Rexburg,ID,http://reviewlyft.com/,Specific Majors,,"AAS-Administrative Assistant/Office Manager,Applied Management   ,Business Analytics       ,Business Management - Entrepreneurial Management,Business Management - Marketing,Business Management - Supply Chain Management,Communication - Advertising,Communication - News/Journalism,Communication - Public Relations,Communication - Video Production,Communication - Visual Communication",,,"Drawing,Graphic Design,Illustration,Photography","Computer Engineering     ,Computer Information Technology,Computer Science     ,Data Science,Software Engineering    ,Web Design and Development - Design,Web Design and Development - Development",,"ReviewLift is a Rexburg based online marketing agency that is focused on providing quality marketing campaigns for its clients through Search Engine Optimization (SEO), Pay Per Click (PPC), Social Media Marketing, Reputation Management, and Web Development. ReviewLift provides meaningful internship opportunities for many different majors including, but not limited to: Business, Marketing, Communications, Data Analysis, Computer Science, Graphic Design, and Website Development and Design",Employer,,,,,I-11,,
Rexburg Area Chamber of Commerce,Rexburg,ID,www.rexburgchamber.org,Specific Majors,,"Business Management - Finance,Communication - Public Relations",,International Studies,,,,The Rexburg Area Chamber of Commerce is a private non-profit organization dedicated to the vitality and economic health of Rexburg and Madison County.,Employer,,,,,G-7,,
Rexburg College of Massage Therapy,Rexburg,ID,http://rexburgcmt.net/,Specific Majors,"Associate of Science in Nursing    ,Bachelor of Science in Nursing (ASN to BSN)    ,Exercise Physiology      ,Food Science ,Health Science     ,Healthcare Administration     ,Medical Assisting    ,Occupational Safety & Health,Paramedicine ,Physical Therapy Assistant    ,Public Health,Recreation Management,Recreation Management  - Therapeutic Recreation",,,,,,,"Rexburg College of Massage Therapy offers students the opportunity to jump confidently into a career in massage therapy. After just 8 months, you will have the knowledge and skills necessary to become a licensed massage therapist. We study both the human body and the art of massage to give our students a comprehensive education. We also provide them time to practice hands on, and become more familiar with client interactions and the ability to offer a satisfying massage. We enroll for 3 programs a year and all are only 2 days a week so students can choose a program that best fits their life schedule!",Graduate School,"$9,400 ",8 Months,Massage Therapy,90%,,L-8,
Riverbend Communications,Idaho Falls,ID,www.eiradio.com,All Majors,,,,,,,,"Riverbend Communications is east Idaho?s leading communications company -- Classy 97, Z103, KBear, 105-5 The Hawk, Sunny 1260/690, and Riverbend Outdoor.  We hire highly motivated sales people who can make the desired contribution to the Riverbend Communications team by bringing excellent service to our clients and maximum growth.",Employer,,,,,G-4,,
Rocky Mountain University of Health Professions,Provo,UT,rmuohp.edu,Specific Majors,"Associate of Science in Nursing    ,Bachelor of Science in Nursing (ASN to BSN)    ,Biology  ,Biology Education,Exercise Physiology      ,Health Science     ,Medical Assisting    ,Paramedicine ,Physical Therapy Assistant",,,,,,,"Rocky Mountain University of Health Professions is located in Provo, UT and focuses on graduate healthcare degrees. We have programs in Physical Therapy, Physician Assistant, Speech-Language Pathology, Nursing, and Health Science.",Graduate School,rmuohp.edu,rmuohp.edu,rmuohp.edu,rmuohp.edu,,L-7,
Rush Enterprises,New Braunfels,TX,www.rushenterprises.com,All Majors,,,,,,,,"Founded in 1965, Rush Enterprises, Inc. is the premier solutions provider to the commercial vehicle industry. The company owns and operates Rush Truck Centers, the largest network of commercial vehicle dealerships in the United States, with over 100 locations in 22 states. These vehicle centers represent truck and bus manufacturers, including Peterbilt, International, Hino, Isuzu, Ford, IC Bus and Blue Bird. They offer an integrated approach to meeting customer needs, from sales of new and used vehicles to aftermarket parts, service and body shop operations, financing, insurance, leasing and rental. Rush Enterprises' operations also provide sales and service for refuse, crane and towing vehicles, up-fitting, chrome accessories, tires and CNG fuel systems and vehicle telematics products.",Employer,,,,,C-1,,
Sandhill Media Group,Idaho Falls,ID,sandhillmediagroup.com,Specific Majors,,"Business Management - Entrepreneurial Management,Communication - Advertising,Communication - News/Journalism,Communication - Organizational Communication and Advocacy,Communication - Public Relations",,,,"Computer Engineering     ,Computer Information Technology,Computer Science",,"Sandhill Media Group is a radio broadcast company with stations 99 KUPI, 100MYfm, NOW 107.9, Arrow 107.1, ESPN Sports, LaSuper Caliente...
We also have a  radio groups in Logan and St George Utah",Employer,,,,,C-4,,
Secret MLM Hacks,Boise,ID,secretmlmhacks.com,Specific Majors,,"Business Management - Entrepreneurial Management,Business Management - Marketing,Communication - Advertising,Communication - Video Production",,,,,,We are an online marketing company that specializes in creating Sales Funnels and offers for businesses...,Employer,,,,,D-8,,
Seminaries and Institutes,Rexburg,ID,NONE,All Majors,,,,,,,,Seminaries and Institutes of Religion hire outstanding men and women who can influence the youth of the Church to learn and live the gospel of Jesus Christ.,Employer,,,,,I-9,,
Smithfield Foods,Warsaw,NC,www.smithfieldfoods.com/careers,Specific Majors,"Agronomy, Crop and Soil Sciences,Animal Science,Food Science",,,,,,,"Smithfield Foods is a $14 billion global food company and the world's largest pork processor and hog producer. In the United States, the company is also the leader in numerous packaged meats categories with popular brands including Smithfield?, Eckrich?, Nathan's Famous?, Farmland?, Armour?, John Morrell?, Cook's?, Kretschmar?, Gwaltney?, Curly's?, Margherita?, Carando?, Healthy Ones? Krakus?, Morliny?, and Berlinki?. Smithfield Foods is committed to providing good food in a responsible way and maintains robust animal care, community involvement, employee safety, environmental and food safety and quality programs. For more information, visit www.smithfieldfoods.com/careers",Employer,,,,,I-3,,
Soren,Cypress,TX,https://sorentransport.com,Specific Majors,,"Business Analytics       ,Business Management - Finance,Business Management - Marketing,Business Management - Supply Chain Management,Economics ,Financial Economics",,,,,,"At Soren, our focus is getting results the right way as we strive to provide solutions that will save our customers time and money for their supply chain needs. We are a third-party logistics (3PL) service provider that coordinates and moves a variety of freight across North America. Why would a company hire a third-party logistic (3PL) service provider? The reason being that moving freight requires quite a bit of time and resources. Many companies prefer to hire 3PLs, like us, to move their freight for them because of those challenges to do this on their own outweighs the benefits. We value our customers, so we aim to provide the best customer service in North America to manages those logistic challenges our customers face. 
Also, at Soren, not only do we value strong relationships with our customers but with our employees as well. We are a small, rapidly growing company built by great employees. In this fast pace environment, we work efficiently and productively all while having fun. We celebrate accomplishments and are open to creative suggestions.",Employer,,,,,G-6,,
Southern Utah Univeristy,Cedar City,ut,SUU.EDU,All Majors,,,,,,,,"SUU offers a wide range of graduate degrees that are 100% online, work and get your masters at the same time! Come see us at the career and graduate fair to see how we can benefit your future!",Graduate School,One of the most cost effective graduate schools in the nation!,One year,-,-,,L-9,
Southwest Gas Corporation,Las Vegas,NV,swgas.com,Specific Majors,,,,,,Construction Management,,"Southwest Gas Corporation provides natural gas service to more than 2 million customers throughout Arizona, California and Nevada. This customer base, while impressive, took time to achieve. Eighty-plus years of providing safe and reliable service has made us who we are today. 
The excellent service we provide our customers is ignited by our dedicated employees. We are always looking for talented individuals to join our natural gas family. Offering competitive compensation and benefits packages, Southwest Gas is the perfect place for those who wish to build up the communities we serve.
https://www.swgas.com/en/employment",Employer,,,,,J-10,,
Space Dynamics Lab,North Logan,UT,www.spacedynamics.org,Specific Majors,,,,,,"Computer Engineering     ,Computer Information Technology,Computer Science     ,Electrical Engineering       ,Mechanical Engineering  ,Software Engineering    ,Web Design and Development - Design,Web Design and Development - Development",,"Space Dynamics has been solving the technical challenges faced by the military, science community, and industry since 1959.

SDL works with the Department of Defense and industry in defending and protecting our nation as well as supporting NASA?s vision to ?reveal the unknown for the benefit of humankind.?

SDL?s solutions include improved data gathering and analysis tools for all branches of the military and powerful remote and in situ sensing solutions?with an emphasis in electro-optical sensing in the near UV to far IR.",Employer,,,,,J-2,,
Spudnik Equipment Company,Blackfoot,id,spudnik.us,All Majors,,,,,,,,"SPUDNIK EQUIPMENT COMPANY LLC is North America?s largest potato equipment manufacturer.  We lead the industry in design engineering, innovation, and technological advancements of potato planting, cultivating, harvesting and handling equipment. 

We recognize that it is our team of great employees that strengthens our position as the leader in our industry.  We strive to find the best talent in the industry, and offer an exceptional workplace for career-minded individuals who share our vision of quality, continuous improvement, and customer satisfaction.

Spudnik is committed to providing a safe, respectful, and family-oriented work environment.  We offer excellent compensation, flexible scheduling, a full range of benefits, and training opportunities for career advancement.

We constantly strive to provide the solutions that make our customers so successful, they praise our revolutionary innovation, unmatched customer service, and quality that is second to none.  We do this by employing and developing people with the right talent & attitude and provide them with the resources & environment needed to be successful.",Employer,,,,,J-8,,
St. Luke's Health System,Boise,ID,https://www.stlukesonline.org/about-st-lukes/careers,All Majors,,,,,,,,"A strong, talented staff is at the heart of St. Luke?s Health System. We are Idaho's largest employer with more than 13,500 employees and a medical staff of more than 1,800 physicians and advanced practice clinicians. Our employees are dedicated to impacting the lives of those in our community while pursuing a life- changing career at St. Luke?s. Our staff is the reason for our outstanding reputation as both a quality employer and superior healthcare organization. We?re proud of our people who deliver skilled, compassionate care every day, and are looking to add dedicated individuals who will continue in the same tradition of excellence. With multiple locations in the beautiful southern and central Idaho, our mild, four season climate means you can play outdoors year-round. Whether you prefer leisurely walks along the river or heart-pounding climbs up a sheer cliff- there is always something to do after work. An exciting mix of urban and outdoor life defines Idaho?s culture, you can ski in the morning and watch a college sporting event at night. It is a great state to raise a family and forge lasting relationships. The cost of living is low, and quality of life is high.",Employer,,,,,O-17,,
Stevens Henager College,Murray,UT,SHCinternational.com,All Majors,,,,,,,,"Stevens Henager College provides career-focused work/study (Curricular Practical Training ? CPT) master degree programs including Master of Business Administration, Master of Healthcare Administration, Master of Information Systems.  We specialize in helping international students graduate from their master degree programs with significant work experience with one of our curricular practical training employer partners.",Graduate School,"$29,280 ",15 months,"Business, Healthcare, Information Technology (STEM)",60%,,N-8,
Stevens-Henager College,Idaho Falls,ID,www.stevenshenager.edu,Specific Majors,"Associate of Science in Nursing    ,Bachelor of Science in Nursing (ASN to BSN)","Accounting,Business Management - Entrepreneurial Management",,,,,,"Stevens-Henager College, in partnership with Independence University (online) offers 15 month masters degree programs in business, IT, and healthcare that are fully online. The Idaho Falls campus offers support to these online students via tutoring, a computer lab, and a library. For more info, please go to independence.edu",Graduate School,29560,15 Months,great,n/a,,O-6,
Stotz Equipment,Avondale,AZ,http://www.stotzequipment.com/,Specific Majors,Agricultural Technology,"Agribusiness  - Agribusiness Management,Agribusiness  - Global Food and Agribusiness Management,Agricultural Economics    ,Business Analytics       ,Business Management - Supply Chain Management",,,,,,"Stotz Equipment is your official John Deere Dealer for new and used tractor equipment, parts and service at our 25 stores in 8 states.  Family-owned and operated since 1947 we offer over 70 years of experience delivering consistency and commitment to our customers.  Stotz Equipment focuses on top talent as we believe people are the company's number one asset, where your ideas, experiences, and values matter.

Our vision is to be the best equipment dealer in the world. Stotz holds true to its founding values: Quality, Integrity, Loyalty, Caring and Community. Our mission is to make life easier for our customers and our employees through building long-term relationships, offering flexible solutions, and providing uptime availability.",Employer,,,,,O-14,,
Strata,Boise,ID,www.stratageotech.com,Specific Majors,,,,,,"AAS--Engineering Technology,AAS--Welding Engineering Technology,Civil Engineering,Construction Management     ,Geology",,"STRATA is a 40-year-old, Idaho-based corporation, which provides our clients with professional geotechnical engineering, environmental sciences, construction inspection, and material testing (CMT) services throughout the intermountain west. Currently, STRATA has offices in Boise, Coeur d?Alene, Twin Falls, and Pocatello, Idaho; Tri-Cities and Spokane, Washington; Casper, Gillette, and Cheyenne, Wyoming; and Williston, North Dakota.",Employer,,,,,B-9,,
Strategic Social Partners,Idaho falls,ID,www.strategicsocialpartners.com,Specific Majors,,"AAS-Administrative Assistant/Office Manager,Business Management - Entrepreneurial Management,Business Management - Marketing,Communication - Advertising,Communication - Organizational Communication and Advocacy,Communication - Public Relations,Communication - Video Production,Communication - Visual Communication",,,,,,Strategic Social Partners is a rapidly growing Digital Marketing Agency.  Our goal is to turn engagements on social media into revenue for our clients.  We do this through optimizing the transaction and implementing cuttingedge lead generation strategies for oru partners and clients.  As part of our growth we are alwasy looking for news sales staff and growing our execution team.,Employer,,,,,E-7,,
"Stukent, Inc.",Idaho Falls,ID,https://www.stukent.com,Specific Majors,,"AAS-Administrative Assistant/Office Manager,Applied Management   ,Business Analytics       ,Business Management - Entrepreneurial Management,Business Management - Marketing,Business Management - Supply Chain Management,Communication - Advertising,Communication - Organizational Communication and Advocacy,Communication - Public Relations,Communication - Visual Communication",,English,Graphic Design,,,"Stukent develops leading-edge internet marketing courseware in the cloud through real-world simulations, digital textbooks, expert mentoring sessions from proven industry professionals and much more. Stukent is used by over 1000 instructors in over 40 countries.",Employer,,,,,F-1,,
T Rock Contracting,Argyle,TX,https://dallasroofer.com/,Specific Majors,,"Applied Management   ,Business Management - Entrepreneurial Management,Business Management - Marketing,Communication - Advertising",,,,Construction Management,University Studies,"Are you looking for a fast track to a SIX FIGURE income, while you start your own business, and work your way into ownership as an Entrepreneur? 

T Rock Contracting is looking for motivated, ethical, self driven and hard working individuals.

Since our company?s founding, T-Rock Roofing and Construction has operated with one major guiding principle ? do the job well and get it right the first time. In the 60 years since, our business has thrived as we have remained committed to our customers and to excellence. Our top-notch staff and outstanding customer service have gained the loyalty of thousands of home and business owners over the decades by offering quality, local roofing services in the North Texas area. With both residential and commercial roofing services, we give our all to every rooftop, and all of our work is guaranteed. If an issue comes up at any time with the work we?ve done, we will fix it at no cost ? regardless of how long ago it was completed.",Employer,,,,,D-5,,
"Teton Valley Health Care, Inc.",Driggs,ID,www.tvhcare.org,All Majors,,,,,,,,"Teton Valley Health (TVH) is the Teton Valley Community?s focal point and source for high-quality, professional medical services.  TVH is open and accessible every hour of every day, and provides compassionate, timely, and effective treatment.  TVH is differentiated by patient-centered service and treats everyone with honesty, dignity, fairness, and respect.

Through prudent management of its staff and facilities and relationships with other regional providers, TVH provides the appropriate range of medical care while operating in a cost effective manner that generates a positive net income .  We adapt our scope of services to respond to healthcare needs and to promote public health care and awareness through community engagement, relationships with regional health care providers, and innovation in the use of technology.  We focus on change to deliver improved patient care, safety, and cost-efficient health care.",Employer,,,,,I-4,,
The Lodge at Bryce Canyon,Bryce,UT,brycecanyonforever.com,All Majors,,,,,,,,"With rustic 1920's era elegance, The Lodge at Bryce Canyon is located in the heart of the park and is a National Historic Landmark. With unique accommodations ideally located a few feet from the amphitheater's rim and trailheads, the lodge is popular with visitors from all over the world.

We are surrounded by amazing hiking trails, lakes for fishing, and rock climbing in Southwestern Utah within the Colorado Plateau and is part of the southeastern edge of the Paunsaugunt Plateau west of the Paunsaugunt Fault.
We support and supply services to guests from around the world as a hospitality provider.",Employer,,,,,G-9,,
